"Name","Position","Team","Air Yards","Targets","Expected Catches","Actual Catches","Average Depth of Target","Expected Catch Rate","Catch Rate","Expected rec Yds","Actual Rec Yds","Expected Rec TD","Actual Rec TDs","Actual PPR Points","Expected PPR Points","PPR Points +/-","Actual Half PPR Points","Expected Half PPR Points","Half PPR Points +/-","Yards after the Catch","YAC Per Catch","Actual DK","Expected DK","DK +/-","Actual FD","Expected FD","FD +/-","Expected Rush Yards","Expected Rush TD","Actual Rush F Points","Expected Rush F Points","Touches","Carries","Rush Yds","Rush TD"
"Brandin Cooks","WR","HOU","428","32","20.12","23","13.38","62.86%","0.72","290.11","322","1.57","1","61.20","58.54","2.70","49.70","48.48","1.20","61","2.65","61.70","59.03","2.70","50.20","48.97","1.20","4.90","0.00","0.50","0.49","33","1","5","0"
"Davante Adams","WR","GB","406","34","21.07","25","11.94","61.98%","0.74","292.73","309","2.12","1","61.90","63.04","-1.10","49.40","52.50","-3.10","80","3.20","61.90","63.04","-1.10","49.40","52.50","-3.10","0.00","0.00","0.00","0.00","34","0","0","0"
"Stefon Diggs","WR","BUF","386","31","19.76","19","12.45","63.74%","0.61","275.25","191","1.39","1","44.10","55.64","-11.50","34.60","45.77","-11.20","48","2.53","44.10","55.64","-11.50","34.60","45.77","-11.20","0.00","0.00","0.00","0.00","31","0","0","0"
"Chase Claypool","WR","PIT","363","29","17.73","15","12.52","61.15%","0.52","267.81","211","0.96","0","36.10","50.25","-14.20","28.60","41.39","-12.80","59","3.93","38.30","51.26","-13.00","30.80","42.39","-11.60","9.34","0.01","2.20","1.01","31","2","22","0"
"DJ Chark Jr.","WR","JAX","359","22","12.40","7","16.32","56.35%","0.32","242.69","154","0.77","2","34.40","41.30","-6.90","30.90","35.10","-4.20","24","3.43","34.40","41.30","-6.90","30.90","35.10","-4.20","0.00","0.00","0.00","0.00","22","0","0","0"
"Darren Waller","TE","LV","350","33","21.00","20","10.61","63.64%","0.61","286.94","224","1.30","1","48.40","57.49","-9.10","38.40","46.99","-8.60","71","3.55","48.40","57.49","-9.10","38.40","46.99","-8.60","0.00","0.00","0.00","0.00","33","0","0","0"
"Marquise Brown","WR","BAL","349","23","12.87","15","15.17","55.97%","0.65","214.18","235","1.78","2","50.50","44.95","5.50","43.00","38.52","4.50","95","6.33","51.00","45.46","5.50","43.50","39.02","4.50","4.87","0.00","0.50","0.51","24","1","5","0"
"Marquez Valdes-Scantling","WR","GB","349","16","7.74","6","21.81","48.39%","0.38","163.85","76","1.61","1","19.60","33.77","-14.20","16.60","29.90","-13.30","24","4.00","19.60","33.77","-14.20","16.60","29.90","-13.30","0.00","0.00","0.00","0.00","16","0","0","0"
"Mike Evans","WR","TB","342","25","15.14","16","13.68","60.58%","0.64","241.52","205","2.00","2","48.50","51.28","-2.80","40.50","43.70","-3.20","46","2.88","48.50","51.28","-2.80","40.50","43.70","-3.20","0.00","0.00","0.00","0.00","25","0","0","0"
"Marvin Jones Jr.","WR","DET","339","28","16.61","17","12.11","59.30%","0.61","240.28","194","1.98","2","48.40","52.54","-4.10","39.90","44.24","-4.30","32","1.88","48.40","52.54","-4.10","39.90","44.24","-4.30","0.00","0.00","0.00","0.00","28","0","0","0"
"Emmanuel Sanders","WR","NO","338","20","10.77","11","16.90","53.85%","0.55","200.13","194","1.35","2","42.40","38.86","3.50","36.90","33.47","3.40","27","2.45","42.40","38.86","3.50","36.90","33.47","3.40","0.00","0.00","0.00","0.00","20","0","0","0"
"Courtland Sutton","WR","DEN","335","20","11.66","15","16.75","58.32%","0.75","189.97","210","1.21","0","36.00","37.90","-1.90","28.50","32.07","-3.60","34","2.27","36.00","37.90","-1.90","28.50","32.07","-3.60","0.00","0.00","0.00","0.00","20","0","0","0"
"Tyreek Hill","WR","KC","334","26","15.97","19","12.85","61.41%","0.73","242.91","267","0.86","1","51.70","45.39","6.30","42.20","37.41","4.80","83","4.37","54.70","46.94","7.80","45.20","38.96","6.20","12.99","0.04","3.00","1.55","29","3","30","0"
"D.J. Moore","WR","CAR","330","30","19.21","21","11.00","64.04%","0.70","275.95","283","0.37","0","49.30","49.05","0.20","38.80","39.45","-0.60","81","3.86","50.60","49.83","0.80","40.10","40.23","-0.10","7.25","0.01","1.30","0.78","32","2","13","0"
"Justin Jefferson","WR","MIN","322","30","18.80","20","10.73","62.68%","0.67","256.18","254","1.19","2","57.40","51.55","5.80","47.40","42.15","5.20","96","4.80","57.40","51.55","5.80","47.40","42.15","5.20","0.00","0.00","0.00","0.00","30","0","0","0"
"DK Metcalf","WR","SEA","318","25","14.86","16","12.72","59.44%","0.64","225.09","220","1.47","2","50.00","46.18","3.80","42.00","38.75","3.30","74","4.63","50.00","46.18","3.80","42.00","38.75","3.30","0.00","0.00","0.00","0.00","25","0","0","0"
"Henry Ruggs III","WR","LV","309","19","11.34","11","16.26","59.67%","0.58","194.95","237","0.48","1","40.70","33.74","7.00","35.20","28.07","7.10","74","6.73","41.60","35.20","6.40","36.10","29.53","6.60","7.60","0.12","0.90","1.46","21","2","9","0"
"Michael Pittman Jr.","WR","IND","302","28","17.60","17","10.79","62.85%","0.61","238.97","220","1.49","0","39.00","50.43","-11.40","30.50","41.63","-11.10","63","3.71","39.50","50.92","-11.40","31.00","42.12","-11.10","4.93","0.00","0.50","0.49","29","1","5","0"
"DeVonta Smith","WR","PHI","301","21","12.72","11","14.33","60.57%","0.52","188.17","115","0.80","1","28.50","36.33","-7.80","23.00","29.97","-7.00","34","3.09","28.50","36.33","-7.80","23.00","29.97","-7.00","0.00","0.00","0.00","0.00","21","0","0","0"
"DeVante Parker","WR","MIA","299","23","14.15","13","13.00","61.50%","0.57","213.27","165","0.48","0","29.50","38.34","-8.80","23.00","31.27","-8.30","42","3.23","29.50","38.34","-8.80","23.00","31.27","-8.30","0.00","0.00","0.00","0.00","23","0","0","0"
"Sammy Watkins","WR","KC","296","22","13.42","12","13.45","61.01%","0.55","189.48","208","1.03","0","32.80","38.57","-5.80","26.80","31.86","-5.10","63","5.25","32.80","38.57","-5.80","26.80","31.86","-5.10","0.00","0.00","0.00","0.00","22","0","0","0"
"Jakobi Meyers","WR","NE","293","29","18.96","19","10.10","65.38%","0.66","245.56","176","0.60","0","36.60","47.12","-10.50","27.10","37.64","-10.50","50","2.63","36.60","47.12","-10.50","27.10","37.64","-10.50","0.00","0.00","0.00","0.00","29","0","0","0"
"A.J. Brown","WR","TEN","289","19","10.64","7","15.21","55.99%","0.37","174.11","92","1.33","1","22.20","36.05","-13.90","18.70","30.74","-12.00","10","1.43","22.50","36.51","-14.00","19.00","31.19","-12.20","4.56","0.00","0.30","0.46","20","1","3","0"
"Mike Williams","WR","LAC","287","31","19.21","22","9.26","61.97%","0.71","226.68","295","3.04","4","75.50","60.12","15.40","64.50","50.51","14.00","109","4.95","75.50","60.12","15.40","64.50","50.51","14.00","0.00","0.00","0.00","0.00","31","0","0","0"
"Tyler Lockett","WR","SEA","283","20","11.67","16","14.15","58.36%","0.80","170.74","309","0.88","3","64.90","34.01","30.90","56.90","28.17","28.70","101","6.31","64.90","34.01","30.90","56.90","28.17","28.70","0.00","0.00","0.00","0.00","20","0","0","0"
