"","Stud_ID","PROJ_TOTAL","Proj01","Proj02","Proj03","Proj04","Proj05","Proj06","Proj07","Proj08","Proj09","Proj10","Proj11","Total_Pts","Exam1","Exam2","Exam3","Prob_solve_pre","Prob_solve_post","extraversion","agreeableness","conscient.","stability","openness","Metacog.","SelfEfficacy","IntGoalOrient","ExtGoalOrient"
"1","e75ab8254",347,14,19,13,25,27,35,40,47,44,35,48,622,60,60,55,3.5,4.66666666666667,52,51,47,43,42,65,50,25,26
"2","07ee7a263",427,14,20,20,38,45,42,41,50,52,53,52,902,80,125,170,16,15,29,50,54,58,38,31,32,13,16
"3","9c02eb000",393,14,18,16,37,42,44,45,41,50,37,49,829,96,115,125,7,5,55,59,46,53,48,NA,NA,NA,NA
"4","52fb2d1ca",397,14,18,19,0,43,43,50,50,52,53,55,831,80,120,135,10,14.5,25,29,38,37,53,34,48,14,26
"5","a4d76f570",316,14,20,12,36,8,34,0,41,52,49,50,757,76,120,145,2.33333333333333,13,50,50,60,59,43,54,48,19,22
"6","94ea75daa",435,14,20,19,36,45,45,50,50,55,46,55,929,84,135,175,8,15,37,54,50,56,47,47,49,23,22
"7","5e9c38d44",375,13,20,20,36,43,38,46,40,50,22,47,822,76,135,136,3.83333333333333,8,38,50,63,43,44,53,45,23,18
"8","e5a5608e8",398,14,17,19,39,45,41,49,20,55,47,52,783,64,110,111,5.33333333333333,NA,NA,NA,NA,NA,NA,65,56,25,25
"9","f2abdba22",350,14,18,18,37,44,0,45,43,51,40,40,696,52,90,105,NA,NA,58,65,50,46,48,55,21,9,18
"10","21d036526",354,13,18,17,32,40,33,16,39,52,40,54,810,76,105,175,10,5.33333333333333,47,42,42,34,42,48,42,22,28
"11","3fc8237b5",295,13,20,20,34,43,41,50,19,55,0,0,640,76,90,80,0,2,45,69,56,38,66,67,56,28,22
"12","72ccca5a0",440,14,20,20,40,45,45,50,48,55,48,55,877,80,115,150,3.33333333333333,7,32,56,50,NA,49,55,45,26,28
